JLCPCB BOM Tool - BOM Matching,,,,,,,,,,,,,,,,,
BOM name:BOM-main-JLCPCB Assembly Order.xlsx,,,Download Time:2025-06-21 21:39:04,,,,"* Our matching results are updated in real-time, but stock and prices may change. 
If it's been over 24 hours, please re-match before placing your order.",,,,,,,,,,
PCB Assembled Qty:5,,,Est. Total Price:51.5611,,,,,,,,,,,,,,
Your BOM,,,,,Matched Parts,,,,,,,Order Information,,,,,
Top Designator,Bottom Designator,Comment,Footprint,JLCPCB Part #,Matches,Part # ,Manufacturer,Footprint,Description,Category,Warning,JLCPCB Part #,Product link,Lib Type,Qty,Source,Total Price ($)
"C1,C3,C6",,0.1pF,C_0201_0603Metric,,Select by System,C0201C0G1R0B500NTA,EYANG(Shenzhen Eyang Tech Development),0201,50V 1pF C0G ±0.1pF 0201  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,Multilayer Ceramic Capacitors MLCC - SMD/SMT,,C124760,https://jlcpcb.com/partdetail/126037-C0201C0G1R0B500NTA/C124760,Extended,20,20 JLCPCB,0.042
C2,,33pF,C_0201_0603Metric,,Select by System,0201CG330J500NT,FH (Guangdong Fenghua Advanced Tech),0201,50V 33pF C0G ±5% 0201  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,Multilayer Ceramic Capacitors MLCC - SMD/SMT,,C56903,https://jlcpcb.com/partdetail/57933-0201CG330J500NT/C56903,Extended,20,20 JLCPCB,0.014
"C10,C4,C5,C8,C9",,0.1,C_0201_0603Metric,,Select by System,GRM033C81E104KE14D,Murata Electronics,0201,0.1 µF ±10% 25V Ceramic Capacitor X6S 0201 (0603 Metric),Global Sourcing Parts,,C181047,https://jlcpcb.com/partdetail/192444-GRM033C81E104KE14D/C181047,Extended,20,20 JLCPCB,0.172
C11,,4.7,C_0201_0603Metric,,Select by System,GRM035R60J475ME15D,Murata Electronics,0201,6.3V 4.7uF X5R ±20% 0201  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,Multilayer Ceramic Capacitors MLCC - SMD/SMT,,C335103,https://jlcpcb.com/partdetail/313624-GRM035R60J475ME15D/C335103,Extended,7,7 JLCPCB,0.2562
FB1,,FerriteBead,L_Ferrocore_DLG-0302,,Select by System,ILHB0805ER121V,Vishay Intertech,0805,120 Ohms @ 100 MHz 1 Ferrite Bead 0805 (2012 Metric) 5A 30mOhm,Global Sourcing Parts,,C442498,https://jlcpcb.com/partdetail/VishayIntertech-ILHB0805ER121V/C442498,Extended,6,6 JLCPCB,0.3792
"J1,J3,J4",,1003-031-01220-TR,USB_C_Receptacle_Amphenol_12401548E4-2A_CircularHoles,,Select by Customer,12401826E412A,Amphenol ICC,SMD,SMD  USB Connectors ROHS,USB Connectors,,C3197788,https://jlcpcb.com/partdetail/AmphenolICC-12401826E412A/C3197788,Extended,6,6 JLCPCB,8.046
J6,,RJ45_Amphenol_RJMG1BD3B8K1ANR,RJ45_Amphenol_RJMG1BD3B8K1ANR,,Select by Customer,ARJM11C7-009-AB-EW2,Abracon LLC,??,1 Shielded Gold WithLED -40?~+85? Plugin  Ethernet Connectors / Modular Connectors (RJ45 RJ11) ROHS,Ethernet Connectors / Modular Connectors (RJ45 RJ11),,C7077933,https://jlcpcb.com/partdetail/AbraconLLC-ARJM11C7_009_ABEW2/C7077933,Extended,2,2 JLCPCB,10.71
"R1,R2,R3,R4,R6,R7",,5.1k,R_0201_0603Metric,,Select by System,CR0201FH5101G,LIZ Elec,0201,50mW Thick Film Resistors 25V ±1% ±250ppm/? 5.1k? 0201 Chip Resistor - Surface Mount ROHS,Chip Resistor - Surface Mount,,C100142,https://jlcpcb.com/partdetail/LIZElec-CR0201FH5101G/C100142,Extended,22,22 JLCPCB,0.0154
R5,,12.0k,R_0201_0603Metric,,Select by System,RC0201JR-0712KL,YAGEO,0201,50mW Thick Film Resistors 25V ±5% ±200ppm/? 12k? 0201 Chip Resistor - Surface Mount ROHS,Chip Resistor - Surface Mount,,C138116,https://jlcpcb.com/partdetail/YAGEO-RC0201JR0712KL/C138116,Extended,20,20 JLCPCB,0.008
R8,,1.0M,R_0201_0603Metric,,Select by Customer,AC0201FR-071ML,YAGEO,0201,50mW Thick Film Resistors 25V ±1% ±200ppm/? 1M? 0201  Chip Resistor - Surface Mount ROHS,Chip Resistor - Surface Mount,,C226459,https://jlcpcb.com/partdetail/YAGEO-AC0201FR071ML/C226459,Extended,20,20 JLCPCB,0.032
R9,,12.4k,R_0201_0603Metric,,Select by System,RM02FTN1242,TA-I Tech,0201,50mW Thick Film Resistors 25V ±1% ±200ppm/? 12.4k? 0201 Chip Resistor - Surface Mount ROHS,Chip Resistor - Surface Mount,,C239755,https://jlcpcb.com/partdetail/TA_ITech-RM02FTN1242/C239755,Extended,20,20 JLCPCB,0.042
"R10,R11,R12,R13,R14",,10,R_0201_0603Metric,,Select by System,CR0201JH0100G,LIZ Elec,0201,50mW Thick Film Resistors 25V ±5% ±600ppm/? 10? 0201 Chip Resistor - Surface Mount ROHS,Chip Resistor - Surface Mount,,C100148,https://jlcpcb.com/partdetail/LIZElec-CR0201JH0100G/C100148,Extended,20,20 JLCPCB,0.016
"R15,R16",,330,R_0201_0603Metric,,Select by System,CR0201JH0331G,LIZ Elec,0201,±5% 330? 0201  Chip Resistor - Surface Mount ROHS,Chip Resistor - Surface Mount,,C100175,https://jlcpcb.com/partdetail/LIZElec-CR0201JH0331G/C100175,Extended,20,20 JLCPCB,0.016
R17,,39.2K,R_0201_0603Metric,,Select by System,RTT013922FTH,RALEC,0201,50mW Thick Film Resistors 25V ±1% ±200ppm/? 39.2k? 0201 Chip Resistor - Surface Mount ROHS,Chip Resistor - Surface Mount,,C158556,https://jlcpcb.com/partdetail/RALEC-RTT013922FTH/C158556,Extended,20,20 JLCPCB,0.018
R18,,61.9K,R_0201_0603Metric,,Select by System,RC-01W6192FT,FH (Guangdong Fenghua Advanced Tech),0201,50mW Thick Film Resistors 25V ±1% ±200ppm/? 61.9k? 0201  Chip Resistor - Surface Mount ROHS,Chip Resistor - Surface Mount,,C320985,https://jlcpcb.com/partdetail/301890-RC01W6192FT/C320985,Extended,7,7 JLCPCB,0.0063
U2,,LAN9512i,QFN-64-1EP_9x9mm_P0.5mm_EP7.3x7.3mm,,Select by System,LAN9512I-JZX,Microchip Tech,QFN-64-EP(9x9),QFN-64-EP(9x9)  Ethernet Controllers ROHS,Ethernet Controllers,,C633505,https://jlcpcb.com/partdetail/MicrochipTech-LAN9512IJZX/C633505,Extended,2,2 JLCPCB,30.81
Y2,,KC2520Z,Oscillator_SMD_Kyocera_KC2520Z-4Pin_2.5x2.0mm,,Select by Customer,SX2M24.000M20F30TNN,Shenzhen SCTF Elec,SMD2520-4P,1.62V~3.63V ±20ppm 10mA ±30ppm CMOS 24MHz SMD2520-4P  Crystal Oscillators ROHS,Crystal Oscillators,,C2901600,https://jlcpcb.com/partdetail/3151413-SX2M24000M20F30TNN/C2901600,Extended,2,2 JLCPCB,0.978
